,hotel_url,name,description,review,stars,coord_lat,coord_lon
20,https://www.booking.com/hotel/fr/600m-gare-et-400m-gem-lit-double-wifi-fibre.fr.html,"600m Gare et 400m Gem: lit double, wifi fibre","Situé à 600 mètres de la gare de Grenoble, à 6,8 km du parc des expositions AlpExpo et à 3,1 km du stade des Alpes, l'AlpExpo propose une connexion Wi-Fi gratuite. 600m Gare et 400m Gem: lit double, wifi fibre propose un hébergement situé à Grenoble. Vous séjournerez à 5,5 km de la Bastille de Grenoble, à 7 km de Summum et à 32 km du col de Parménie. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement et le WTC Grenoble se trouve à 700 mètres.  Cet appartement comprend une chambre, un salon, une télévision à écran plat, une cuisine équipée avec un coin repas ainsi qu'une salle de bains pourvue d'une douche et d'un lave-linge. Les serviettes et le linge de lit sont fournis. Cet établissement est non-fumeurs.  En été, vous pourrez pratiquer des sports d'hiver dans les environs.  L'aéroport le plus proche, celui des Alpes-Isère, est situé à 45 km.",8.0,,45.188877,5.7092549
21,https://www.booking.com/hotel/fr/chambre-au-coeur-grenoble-calme-amp-tout-equipe-avec-wifi.fr.html,Chambre au Coeur Grenoble - Calme & Tout Equipé avec WIFI,"Dotée d'un balcon, la Chambre au Coeur Grenoble - Calme & Tout Equipé avec WIFI est située à Grenoble. Il se trouve à 1,2 km du WTC Grenoble, à 6 km de l'AlpExpo et à 3,8 km du stade des Alpes. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement et la gare de Grenoble se trouve à 1,1 km.  Cet appartement climatisé comprend une chambre, une cuisine entièrement équipée et une salle de bains. Il dispose également d'une télévision à écran plat. Cet établissement est non-fumeurs.  En été, vous pourrez pratiquer des sports d'hiver dans les environs.  Vous séjournerez à 5,6 km de la Bastille de Grenoble et à 6,2 km du Summum. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 45 km.",6.5,,45.1862613,5.7059208
22,https://www.booking.com/hotel/fr/charmant-studio-a-10-minutes-a-pied-de-la-gare-de-grenoble.fr.html,Studio Noix à 10 minutes à pied de la gare de Grenoble,"Le Studio Noix à 10 minutes à pied de la gare de Grenoble est situé à Grenoble, à 1,7 km du WTC Grenoble, à 4,9 km d'AlpExpo et à 2,9 km du stade des Alpes. Vous séjournerez à environ 5,1 km de Summum, à 6,8 km de la Bastille de Grenoble et à 34 km du col de Parménie. Une connexion Wi-Fi est disponible gratuitement dans l'ensemble de l'établissement et la gare de Grenoble se trouve à 1,5 km.  Cet appartement comprend une chambre, une cuisine entièrement équipée et une salle de bains. Il dispose également d'une télévision à écran plat. Cet établissement est non-fumeurs.  En été, vous pourrez pratiquer des sports d'hiver dans les environs.  L'aéroport le plus proche, celui des Alpes-Isère, est situé à 47 km.",10.0,,45.1810577,5.7145748
23,https://www.booking.com/hotel/fr/hipark.fr.html,Adagio Grenoble Centre,"L'Adagio Grenoble Centre est situé dans le quartier des affaires Europole, à 5 minutes à pied de la gare TGV de Grenoble et à 10 minutes de marche du centre-ville. Cet établissement propose des studios et des suites, une connexion Wi-Fi gratuite, une salle de sport et un sauna.  Tous les studios et suites, décorés dans un style contemporain, sont pourvus d'une télévision connectée et d'une cuisine entièrement équipée.  L'Adagio Grenoble Centre sert un petit-déjeuner continental tous les jours et assure un panel complet de services de concierge.  Ce logement se trouve à quelques pas de la vieille ville de Grenoble et de la cathédrale de Notre-Dame. L'autoroute A480, à 1,3 km, vous permettra d'explorer facilement la région Auvergne-Rhône-Alpes en voiture.",7.3,,45.18960902,5.7121785
24,https://www.booking.com/hotel/fr/studio-lumineux-a-annecy.fr.html,Agréable studio Thiou proche de la gare,"Situé dans le centre d'Annecy, à 35 km de Rochexpo et à 36 km du lac du Bourget, l'établissement La Maison De L'Annecy L'Agréable studio Thiou proche de la gare propose des hébergements avec connexion Wi-Fi et parking privé gratuits. Cet hébergement climatisé se trouve à 41 km du stade de Genève. Cet établissement non-fumeurs se trouve à 44 km du jet d'eau.  Situé au rez-de-chaussée, cet appartement comprend une chambre, une télévision à écran plat ainsi qu'une cuisine entièrement équipée avec un micro-ondes, un grille-pain, un lave-linge, un réfrigérateur et des plaques de cuisson. Vous pourrez prendre vos repas dans le coin repas extérieur tout en admirant la vue sur le jardin. Elles comprennent également des chocolats ou des biscuits.  Vous pourrez pratiquer diverses activités à Annecy et dans les environs, telles que le canoë-kayak et la randonnée. Lors de votre séjour à l'Agréable studio Thiou proche de la gare, vous pourrez pratiquer le ski et la pêche à proximité ou profiter de la terrasse bien exposée.  Vous séjournerez à 44 km de la gare de Cornavin et de la cathédrale Saint-Pierre. L'aéroport de Chambéry-Savoie, le plus proche, est à 41 km.",7.7,3.0,45.8989919,6.1147083
25,https://www.booking.com/hotel/fr/rockypop-grenoble.fr.html,RockyPop Grenoble Hotel,"Situé à Grenoble, à 1,6 km de la gare, le RockyPop Grenoble Hotel propose une salle de sport, un parking privé, un jardin et une terrasse. Il possède un restaurant, un bar et un sauna. Il se trouve à 1,9 km du WTC Grenoble et à moins de 600 mètres du centre-ville.  Les chambres climatisées comprennent un bureau, une machine à café, un coffre-fort, une télévision à écran plat et une salle de bains privative avec baignoire ou douche. Elles comprennent également une armoire et une bouilloire.  Un petit-déjeuner buffet, continental ou anglais/irlandais complet est servi sur place.  Vous pourrez jouer au ping-pong sur place et profiter d'un service de location de vélos.  Parlant français et anglais, le personnel de la réception ouverte 24h/24 se fera un plaisir de vous fournir des informations pratiques sur la région.  Le RockyPop Grenoble Hotel se trouve à moins de 1 km du stade des Alpes et à 4,8 km du parc des expositions AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.",8.4,,45.186911,5.731293
26,https://www.booking.com/hotel/fr/tiallobroges.fr.html,Allobroges Park Hôtel,"L'établissement 3 étoiles Allobroges Park Hôtel vous accueille dans le centre-ville d'Annecy, à 10 minutes à pied du château d'Annecy. Il dispose d'une réception ouverte 24h/24 et d'une connexion Wi-Fi gratuite.  Toutes les chambres insonorisées comprennent la climatisation, un bureau et une télévision à écran LCD. Certaines sont dotées de poutres apparentes. Leur salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits.  Le bar sur place est ouvert 24h/24 et 7j/7. En été, vous pourrez également profiter d'une terrasse.  Le lac d'Annecy vous attend à 10 minutes de marche. Sur réservation préalable, vous pourrez utiliser un parking privé (sous réserve de disponibilité). La gare d'Annecy se trouve à 260 mètres de l'Allobroges Park Hôtel.",8.8,,45.90218661,6.12380505
27,https://www.booking.com/hotel/fr/apt-paisible-en-centre-ville-parking-salle-de-sport-bar-en-rooftop.fr.html,Les Appartements de Grenoble,"Idéalement situé à Grenoble, l'établissement Les Appartements de Grenoble propose un petit-déjeuner buffet et une connexion Wi-Fi gratuite. Offrant une vue sur la montagne et le jardin, il se trouve à 1,9 km de la gare de Grenoble. Il propose des chambres familiales et une terrasse bien exposée.  Tous les logements comprennent un coin salon, une télévision à écran plat, un lave-linge ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Un micro-ondes, un réfrigérateur, des plaques de cuisson, une machine à café et une bouilloire sont également fournis. Les logements disposent de la climatisation et d'un bureau.  Ouvert pour le dîner et le déjeuner, le restaurant familial de l'appart'hôtel sert une cuisine locale. En été, vous pourrez pratiquer des sports d'hiver dans les environs.  Un service de location de vélos est assuré sur place.  Vous séjournerez à 2,7 km du WTC Grenoble et à 6,3 km d'AlpExpo. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 46 km.",8.6,3.0,45.19581084,5.72544678
28,https://www.booking.com/hotel/fr/tyni-house-furnished-flat-annecy1.fr.html,Tyni House Furnished flat,"Situated in the centre of Annecy, just 36 km from Rochexpo and 36 km from Bourget Lake, Tyni House Furnished flat features accommodation with city views and free WiFi. The property is located 45 km from Jet d'Eau, 45 km from St. Pierre Cathedral and 45 km from Gare de Cornavin. The property is non-smoking and is set 41 km from Stade de Genève.  The 1-bedroom apartment features a living room with a TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment.  Dining options are available close to the apartment.  A casino is also available for guests at Tyni House Furnished flat.  United Nations Geneva is 47 km from the accommodation, while PalExpo is 47 km from the property. The nearest airport is Chambéry-Savoie Airport, 42 km from Tyni House Furnished flat.",,3.0,45.8984739,6.1255492
29,https://www.booking.com/hotel/fr/hotel-des-alpes.fr.html,Hôtel des Alpes,"L'Hôtel des Alpes propose un hébergement 2 étoiles à 10 minutes à pied du lac d'Annecy et à 100 mètres de la gare. La vieille ville, les boutiques et les restaurants sont accessibles à pied.  Tous les logements de l'hôtel sont équipés d'une télévision par satellite à écran plat et d'un bureau. Leur salle de bains privative possède un sèche-cheveux et des articles de toilette gratuits. L'hôtel ne possède pas d'ascenseur mais son personnel se fera un plaisir de vous aider avec vos bagages si vous le souhaitez.  Un petit-déjeuner continental est servi tous les matins. Vous pourrez aussi profiter d'un bar.  L'aéroport de Chambéry-Savoie, le plus proche, est à 48 km. Un parking public est à proximité. Il est accessible gratuitement de 19h00 à 8h00 et moyennant des frais supplémentaires pendant le reste de la journée.",8.4,,45.90163038,6.12292528
